filename,interleaver_type,parameter
bits_00000.npy,none,
bits_00001.npy,none,
bits_00002.npy,none,
bits_00003.npy,none,
bits_00004.npy,none,
bits_00005.npy,none,
bits_00006.npy,none,
bits_00007.npy,none,
bits_00008.npy,none,
bits_00009.npy,none,
bits_00010.npy,none,
bits_00011.npy,none,
bits_00012.npy,none,
bits_00013.npy,none,
bits_00014.npy,none,
bits_00015.npy,none,
bits_00016.npy,none,
bits_00017.npy,none,
bits_00018.npy,none,
bits_00019.npy,none,
bits_00020.npy,none,
bits_00021.npy,none,
bits_00022.npy,none,
bits_00023.npy,none,
bits_00024.npy,none,
bits_00025.npy,none,
bits_00026.npy,none,
bits_00027.npy,none,
bits_00028.npy,none,
bits_00029.npy,none,
bits_00030.npy,none,
bits_00031.npy,none,
bits_00032.npy,none,
bits_00033.npy,none,
bits_00034.npy,none,
bits_00035.npy,none,
bits_00036.npy,none,
bits_00037.npy,none,
bits_00038.npy,none,
bits_00039.npy,none,
bits_00040.npy,none,
bits_00041.npy,none,
bits_00042.npy,none,
bits_00043.npy,none,
bits_00044.npy,none,
bits_00045.npy,none,
bits_00046.npy,none,
bits_00047.npy,none,
bits_00048.npy,none,
bits_00049.npy,none,
bits_00050.npy,none,
bits_00051.npy,none,
bits_00052.npy,none,
bits_00053.npy,none,
bits_00054.npy,none,
bits_00055.npy,none,
bits_00056.npy,none,
bits_00057.npy,none,
bits_00058.npy,none,
bits_00059.npy,none,
bits_00060.npy,none,
bits_00061.npy,none,
bits_00062.npy,none,
bits_00063.npy,none,
bits_00064.npy,none,
bits_00065.npy,none,
bits_00066.npy,none,
bits_00067.npy,none,
bits_00068.npy,none,
bits_00069.npy,none,
bits_00070.npy,none,
bits_00071.npy,none,
bits_00072.npy,none,
bits_00073.npy,none,
bits_00074.npy,none,
bits_00075.npy,none,
bits_00076.npy,none,
bits_00077.npy,none,
bits_00078.npy,none,
bits_00079.npy,none,
bits_00080.npy,none,
bits_00081.npy,none,
bits_00082.npy,none,
bits_00083.npy,none,
bits_00084.npy,none,
bits_00085.npy,none,
bits_00086.npy,none,
bits_00087.npy,none,
bits_00088.npy,none,
bits_00089.npy,none,
bits_00090.npy,none,
bits_00091.npy,none,
bits_00092.npy,none,
bits_00093.npy,none,
bits_00094.npy,none,
bits_00095.npy,none,
bits_00096.npy,none,
bits_00097.npy,none,
bits_00098.npy,none,
bits_00099.npy,none,
bits_00100.npy,none,
bits_00101.npy,none,
