filename,fec_type,fec_params
fec_00000.npy,none,default
fec_00001.npy,none,default
fec_00002.npy,none,default
fec_00003.npy,none,default
fec_00004.npy,none,default
fec_00005.npy,none,default
fec_00006.npy,none,default
fec_00007.npy,none,default
fec_00008.npy,none,default
fec_00009.npy,none,default
fec_00010.npy,none,default
fec_00011.npy,none,default
fec_00012.npy,none,default
fec_00013.npy,none,default
fec_00014.npy,none,default
fec_00015.npy,none,default
fec_00016.npy,none,default
fec_00017.npy,none,default
fec_00018.npy,none,default
fec_00019.npy,none,default
fec_00020.npy,none,default
fec_00021.npy,none,default
fec_00022.npy,none,default
fec_00023.npy,none,default
fec_00024.npy,none,default
fec_00025.npy,none,default
fec_00026.npy,none,default
fec_00027.npy,none,default
fec_00028.npy,none,default
fec_00029.npy,none,default
fec_00030.npy,none,default
fec_00031.npy,none,default
fec_00032.npy,none,default
fec_00033.npy,none,default
fec_00034.npy,none,default
fec_00035.npy,none,default
fec_00036.npy,none,default
fec_00037.npy,none,default
fec_00038.npy,none,default
fec_00039.npy,none,default
fec_00040.npy,none,default
fec_00041.npy,none,default
fec_00042.npy,none,default
fec_00043.npy,none,default
fec_00044.npy,none,default
fec_00045.npy,none,default
fec_00046.npy,none,default
fec_00047.npy,none,default
fec_00048.npy,none,default
fec_00049.npy,none,default
fec_00050.npy,none,default
fec_00051.npy,none,default
fec_00052.npy,none,default
fec_00053.npy,none,default
fec_00054.npy,none,default
fec_00055.npy,none,default
fec_00056.npy,none,default
fec_00057.npy,none,default
fec_00058.npy,none,default
fec_00059.npy,none,default
fec_00060.npy,none,default
fec_00061.npy,none,default
fec_00062.npy,none,default
fec_00063.npy,none,default
fec_00064.npy,none,default
fec_00065.npy,none,default
fec_00066.npy,none,default
fec_00067.npy,none,default
fec_00068.npy,none,default
fec_00069.npy,none,default
fec_00070.npy,none,default
fec_00071.npy,none,default
fec_00072.npy,none,default
fec_00073.npy,none,default
fec_00074.npy,none,default
fec_00075.npy,none,default
fec_00076.npy,none,default
fec_00077.npy,none,default
fec_00078.npy,none,default
fec_00079.npy,none,default
fec_00080.npy,none,default
fec_00081.npy,none,default
fec_00082.npy,none,default
fec_00083.npy,none,default
fec_00084.npy,none,default
fec_00085.npy,none,default
fec_00086.npy,none,default
fec_00087.npy,none,default
fec_00088.npy,none,default
fec_00089.npy,none,default
fec_00090.npy,none,default
fec_00091.npy,none,default
fec_00092.npy,none,default
fec_00093.npy,none,default
fec_00094.npy,none,default
fec_00095.npy,none,default
fec_00096.npy,none,default
fec_00097.npy,none,default
fec_00098.npy,none,default
fec_00099.npy,none,default
fec_00100.npy,none,default
fec_00101.npy,none,default
fec_00102.npy,none,default
fec_00103.npy,none,default
fec_00104.npy,none,default
fec_00105.npy,none,default
fec_00106.npy,none,default
fec_00107.npy,none,default
fec_00108.npy,none,default
fec_00109.npy,none,default
fec_00110.npy,none,default
fec_00111.npy,none,default
fec_00112.npy,none,default
fec_00113.npy,none,default
fec_00114.npy,none,default
fec_00115.npy,none,default
fec_00116.npy,none,default
fec_00117.npy,none,default
fec_00118.npy,none,default
fec_00119.npy,none,default
fec_00120.npy,none,default
fec_00121.npy,none,default
fec_00122.npy,none,default
fec_00123.npy,none,default
fec_00124.npy,none,default
fec_00125.npy,none,default
fec_00126.npy,none,default
fec_00127.npy,none,default
fec_00128.npy,none,default
fec_00129.npy,none,default
fec_00130.npy,none,default
fec_00131.npy,none,default
fec_00132.npy,none,default
fec_00133.npy,none,default
fec_00134.npy,none,default
fec_00135.npy,none,default
fec_00136.npy,none,default
fec_00137.npy,none,default
fec_00138.npy,none,default
fec_00139.npy,none,default
fec_00140.npy,none,default
fec_00141.npy,none,default
fec_00142.npy,none,default
fec_00143.npy,none,default
fec_00144.npy,none,default
fec_00145.npy,none,default
fec_00146.npy,none,default
fec_00147.npy,none,default
fec_00148.npy,none,default
fec_00149.npy,none,default
fec_00150.npy,none,default
fec_00151.npy,none,default
fec_00152.npy,none,default
fec_00153.npy,none,default
fec_00154.npy,none,default
fec_00155.npy,none,default
fec_00156.npy,none,default
fec_00157.npy,none,default
fec_00158.npy,none,default
fec_00159.npy,none,default
fec_00160.npy,none,default
fec_00161.npy,none,default
fec_00162.npy,none,default
fec_00163.npy,none,default
fec_00164.npy,none,default
fec_00165.npy,none,default
fec_00166.npy,none,default
fec_00167.npy,none,default
fec_00168.npy,none,default
fec_00169.npy,none,default
fec_00170.npy,none,default
fec_00171.npy,none,default
fec_00172.npy,none,default
fec_00173.npy,none,default
fec_00174.npy,none,default
fec_00175.npy,none,default
fec_00176.npy,none,default
fec_00177.npy,none,default
fec_00178.npy,none,default
fec_00179.npy,none,default
fec_00180.npy,none,default
fec_00181.npy,none,default
fec_00182.npy,none,default
fec_00183.npy,none,default
fec_00184.npy,none,default
fec_00185.npy,none,default
fec_00186.npy,none,default
fec_00187.npy,none,default
fec_00188.npy,none,default
fec_00189.npy,none,default
fec_00190.npy,none,default
